Location,Date,Time
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 05 40 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 05 53 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 06 04 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 06 17 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 06 29 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 06 42 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 06 53 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 07 10 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 07 23 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 07 45 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 07 57 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 08 10 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 08 23 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 08 36 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 08 48 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 09 01 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 09 12 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 09 25 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 09 37 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 09 50 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 10 03 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 10 14 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 10 26 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 10 40 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 10 58 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 11 14 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 11 26 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 11 41 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 11 53 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 12 04 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 12 16 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 12 27 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 12 40 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 12 51 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 13 02 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 13 14 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 13 23 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 13 36 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 13 47 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 13 59 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 14 11 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 14 23 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 14 35 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 14 46 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 14 56 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 15 08 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 15 48 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 16 02 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 16 32 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 16 49 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 17 02 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 17 14 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 17 27 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 17 39 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 17 53 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 18 06 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 18 17 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 18 30 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 18 41 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 18 54 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 19 06 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 19 19 PM
"43°47'47.9""N 79°11'49.3""W",10 27 2021,9 19 31 PM
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
